"PRV_COD","PRV_NOMBRE","PRV_COMUNIDAD","PRV_CAPITAL_ID"
"01",ARABA/ALAVA,4,20515
"02",ALBACETE,12,7799
"03",ALICANTE,13,7752
"04",ALMERIA,14,7772
"05",AVILA,9,7753
"06",BADAJOZ,11,13
"07",ILLES BALEARS,16,39889
"08",BARCELONA,6,8103
"09",BURGOS,9,7754
"10",CACERES,11,41
"11",CADIZ,14,3531
"12",CASTELLON,13,9037
"13",CIUDAD REAL,12,8553
"14",CORDOBA,14,663
"15","CORUÑA, A",1,4310
"16",CUENCA,12,7778
"17",GIRONA,6,36897
"18",GRANADA,14,4832
"19",GUADALAJARA,12,1850
"20",GIPUZKOA,4,9675
"21",HUELVA,14,822
"22",HUESCA,7,39174
"23",JAEN,14,8632
"24",LEON,9,4311
"25",LLEIDA,6,42288
"26","RIOJA, LA",8,9212
"27",LUGO,1,4290
"28",MADRID,10,21
"29",MALAGA,14,362
"30",MURCIA,15,3491
"31",NAVARRA,5,8978
"32",OURENSE,1,8877
"33",ASTURIAS,2,8893
"34",PALENCIA,9,8823
"35","PALMAS, LAS",19,1770
"36",PONTEVEDRA,1,53978
"37",SALAMANCA,9,8821
"38",SANTA C. TENERIFE,19,1450
"39",CANTABRIA,3,33047
"40",SEGOVIA,9,8819
"41",SEVILLA,14,347
"42",SORIA,9,57108
"43",TARRAGONA,6,57572
"44",TERUEL,7,57876
"45",TOLEDO,12,2810
"46",VALENCIA,13,58636
"47",VALLADOLID,9,8913
"48",BIZKAIA,4,6950
"49",ZAMORA,9,60173
"50",ZARAGOZA,7,60561
"51",CEUTA,17,33492
"52",MELILLA,18,45849
